Date,Open,High,Low,Close,Adj Close,Volume
1996-06-19,4.066667,4.146667,4.066667,4.133333,2.439747,494063
1996-06-20,4.160000,4.240000,4.160000,4.213333,2.486967,379688
1996-06-21,4.213333,4.240000,4.160000,4.186667,2.471227,998438
1996-06-24,4.200000,4.253333,4.186667,4.226667,2.494839,221250
1996-06-25,4.240000,4.240000,4.186667,4.226667,2.494839,216563
1996-06-26,4.200000,4.213333,4.160000,4.173333,2.463357,121875
1996-06-27,4.146667,4.266667,4.133333,4.253333,2.510578,218438
1996-06-28,4.226667,4.293333,4.226667,4.266667,2.518450,199688
1996-07-01,4.293333,4.293333,4.186667,4.226667,2.494839,316875
1996-07-02,4.200000,4.213333,4.173333,4.173333,2.463357,297188
1996-07-03,4.160000,4.173333,4.160000,4.173333,2.463357,147188
1996-07-05,4.120000,4.120000,4.053333,4.053333,2.392525,229688
1996-07-08,4.000000,4.053333,3.973333,4.026667,2.376786,232500
1996-07-09,4.040000,4.040000,3.986667,4.026667,2.376786,384375
1996-07-10,4.040000,4.053333,3.960000,4.053333,2.392525,219375
1996-07-11,4.053333,4.053333,3.960000,4.013333,2.368917,206250
1996-07-12,3.946667,3.986667,3.933333,3.986667,2.353176,317813
1996-07-15,3.960000,3.960000,3.920000,3.933333,2.321693,360938
1996-07-16,3.906667,3.933333,3.866667,3.866667,2.282345,863438
1996-07-17,3.893333,3.920000,3.760000,3.906667,2.305955,327188
1996-07-18,3.920000,3.920000,3.866667,3.866667,2.282345,148125
1996-07-19,3.853333,3.866667,3.840000,3.853333,2.274474,594375
1996-07-22,3.826667,3.853333,3.813333,3.840000,2.266604,457500
1996-07-23,3.853333,3.853333,3.760000,3.826667,2.258734,593438
1996-07-24,3.786667,3.880000,3.786667,3.813333,2.250863,543750
1996-07-25,3.853333,3.906667,3.826667,3.853333,2.274474,439688
1996-07-26,3.880000,3.893333,3.853333,3.893333,2.298084,70313
1996-07-29,3.866667,3.866667,3.840000,3.840000,2.266604,38438
1996-07-30,3.840000,3.920000,3.840000,3.920000,2.313826,114375
1996-07-31,3.893333,3.920000,3.880000,3.920000,2.313826,279375
1996-08-01,3.946667,4.026667,3.946667,4.013333,2.368917,174375
1996-08-02,4.053333,4.066667,4.026667,4.066667,2.400397,149063
1996-08-05,4.080000,4.093333,4.026667,4.040000,2.384656,129375
1996-08-06,4.053333,4.053333,4.000000,4.013333,2.368917,181875
1996-08-07,4.013333,4.013333,3.933333,3.946667,2.329566,135938
1996-08-08,3.960000,4.040000,3.960000,4.000000,2.361046,80625
1996-08-09,4.026667,4.040000,3.946667,3.973333,2.345305,150938
1996-08-12,3.960000,3.973333,3.906667,3.973333,2.345305,161250
1996-08-13,3.973333,3.986667,3.960000,3.973333,2.345305,54375
1996-08-14,3.946667,3.960000,3.906667,3.920000,2.313826,86250
1996-08-15,3.946667,3.946667,3.906667,3.906667,2.305955,102188
1996-08-16,3.906667,4.040000,3.906667,4.040000,2.384656,226875
